year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,peatland_area_hectares
"2015","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","149929.00588353322"
"2015","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","0"
"2015","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","0"
"2015","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","6264.5721966112515"
"2015","INDONESIA","ID","DAERAH ISTIMEWA YOGYAKARTA","ID-34","JAWA","ID-JW","0"
"2015","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","0"
"2015","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","0"
"2015","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","490094.62473807385"
"2015","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","0"
"2015","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","0"
"2015","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","0"
"2015","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","1546372.1154697717"
"2015","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","45926.4875908543"
"2015","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","2548607.4451452135"
"2015","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","181576.41608453172"
"2015","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","216630.15856911222"
"2015","INDONESIA","ID","KEPULAUAN BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","24324.436242524353"
"2015","INDONESIA","ID","KEPULAUAN RIAU","ID-21","SUMATERA","ID-SM","3592.288924627867"
"2015","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","21483.966924937322"
"2015","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","0"
"2015","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","0"
"2015","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","0"
"2015","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","0"
"2015","INDONESIA","ID","PAPUA","ID-91","PAPUA","ID-PP","756418.8477404068"
"2015","INDONESIA","ID","PAPUA BARAT","ID-92","PAPUA","ID-PP","439288.1341865466"
"2015","INDONESIA","ID","PAPUA BARAT DAYA","ID-96","PAPUA","ID-PP","351250.55994968"
"2015","INDONESIA","ID","PAPUA PEGUNUNGAN","ID-95","PAPUA","ID-PP","86103.20958101963"
"2015","INDONESIA","ID","PAPUA SELATAN","ID-93","PAPUA","ID-PP","827096.956726155"
"2015","INDONESIA","ID","PAPUA TENGAH","ID-94","PAPUA","ID-PP","546700.2352745966"
"2015","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","3549579.387613359"
"2015","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","16466.290744872436"
"2015","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","0"
"2015","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","8148.378963589697"
"2015","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","0"
"2015","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","0"
"2015","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","125052.22083192927"
"2015","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","1115713.5019885553"
"2015","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","329921.1057769116"
"2016","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","149929.00588353322"
"2016","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","0"
"2016","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","0"
"2016","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","6264.5721966112515"
"2016","INDONESIA","ID","DAERAH ISTIMEWA YOGYAKARTA","ID-34","JAWA","ID-JW","0"
"2016","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","0"
"2016","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","0"
"2016","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","490094.62473807385"
"2016","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","0"
"2016","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","0"
"2016","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","0"
"2016","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","1546372.1154697717"
"2016","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","45926.4875908543"
"2016","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","2548607.4451452135"
"2016","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","181576.41608453172"
"2016","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","216630.15856911222"
"2016","INDONESIA","ID","KEPULAUAN BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","24324.436242524353"
"2016","INDONESIA","ID","KEPULAUAN RIAU","ID-21","SUMATERA","ID-SM","3592.288924627867"
"2016","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","21483.966924937322"
"2016","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","0"
"2016","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","0"
"2016","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","0"
"2016","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","0"
"2016","INDONESIA","ID","PAPUA","ID-91","PAPUA","ID-PP","756418.8477404068"
"2016","INDONESIA","ID","PAPUA BARAT","ID-92","PAPUA","ID-PP","439288.1341865466"
"2016","INDONESIA","ID","PAPUA BARAT DAYA","ID-96","PAPUA","ID-PP","351250.55994968"
"2016","INDONESIA","ID","PAPUA PEGUNUNGAN","ID-95","PAPUA","ID-PP","86103.20958101963"
"2016","INDONESIA","ID","PAPUA SELATAN","ID-93","PAPUA","ID-PP","827096.956726155"
"2016","INDONESIA","ID","PAPUA TENGAH","ID-94","PAPUA","ID-PP","546700.2352745966"
"2016","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","3549579.387613359"
"2016","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","16466.290744872436"
"2016","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","0"
"2016","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","8148.378963589697"
"2016","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","0"
"2016","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","0"
"2016","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","125052.22083192927"
"2016","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","1115713.5019885553"
"2016","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","329921.1057769116"
"2017","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","149929.00588353322"
"2017","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","0"
"2017","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","0"
"2017","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","6264.5721966112515"
"2017","INDONESIA","ID","DAERAH ISTIMEWA YOGYAKARTA","ID-34","JAWA","ID-JW","0"
"2017","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","0"
"2017","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","0"
"2017","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","490094.62473807385"
"2017","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","0"
"2017","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","0"
"2017","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","0"
"2017","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","1546372.1154697717"
"2017","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","45926.4875908543"
"2017","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","2548607.4451452135"
"2017","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","181576.41608453172"
"2017","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","216630.15856911222"
"2017","INDONESIA","ID","KEPULAUAN BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","24324.436242524353"
"2017","INDONESIA","ID","KEPULAUAN RIAU","ID-21","SUMATERA","ID-SM","3592.288924627867"
"2017","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","21483.966924937322"
"2017","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","0"
"2017","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","0"
"2017","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","0"
"2017","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","0"
"2017","INDONESIA","ID","PAPUA","ID-91","PAPUA","ID-PP","756418.8477404068"
"2017","INDONESIA","ID","PAPUA BARAT","ID-92","PAPUA","ID-PP","439288.1341865466"
"2017","INDONESIA","ID","PAPUA BARAT DAYA","ID-96","PAPUA","ID-PP","351250.55994968"
"2017","INDONESIA","ID","PAPUA PEGUNUNGAN","ID-95","PAPUA","ID-PP","86103.20958101963"
"2017","INDONESIA","ID","PAPUA SELATAN","ID-93","PAPUA","ID-PP","827096.956726155"
